token,mean_importance_yta,mean_importance_nta,diff,count_yta_docs,count_nta_docs,abs_diff
tommorow,0.0,0.05178696187135069,-0.05178696187135069,0,1,0.05178696187135069
george,0.0,0.051770731987105106,-0.051770731987105106,0,1,0.051770731987105106
realized,0.1418740470521361,0.1934854482258046,-0.0516114011736685,1,1,0.0516114011736685
stop,0.18368134166985828,0.23517496326813492,-0.05149362159827664,2,2,0.05149362159827664
being,0.41001183425831905,0.35852577099574295,0.0514860632625761,10,10,0.0514860632625761
ignoring,0.21246999588928733,0.16129625983365922,0.05117373605562811,1,1,0.05117373605562811
&,0.37329948379381306,0.4240871364753736,-0.05078765268156055,2,4,0.05078765268156055
too,0.13407709601297588,0.08346451423963766,0.05061258177333822,2,2,0.05061258177333822
inheritance,0.41596636602919107,0.46630024054266467,-0.0503338745134736,2,2,0.0503338745134736
wake,0.05006128298818413,0.0,0.05006128298818413,1,0,0.05006128298818413
leaving,0.16891376191971663,0.2188988305004079,-0.049985068580691266,1,1,0.049985068580691266
fake,0.17652785369278845,0.12701883061453342,0.04950902307825503,1,1,0.04950902307825503
hometown,0.0,0.048886396975204145,-0.048886396975204145,0,1,0.048886396975204145
kali,0.14628711987490975,0.195013000259176,-0.04872588038426626,1,1,0.04872588038426626
autistic,0.09935723044753039,0.050666837020853776,0.048690393426676616,1,1,0.048690393426676616
pairing,0.2109236464640379,0.16224014384688973,0.04868350261714818,1,1,0.04868350261714818
reached,0.18519754146953954,0.13661637965848744,0.0485811618110521,1,1,0.0485811618110521
annoys,0.21198465005818834,0.16365853469539351,0.048326115362794825,1,1,0.048326115362794825
stay,0.175088971026227,0.12719400846674717,0.04789496255947984,1,1,0.04789496255947984
reserved,0.05992406034174982,0.10781317185650774,-0.04788911151475792,1,1,0.04788911151475792
gives,0.18803182998444792,0.14033435236418082,0.047697477620267104,1,1,0.047697477620267104
frustrated,0.09566718835437864,0.04835079275046601,0.047316395603912625,1,1,0.047316395603912625
emotional,0.16013290225655535,0.11295823895321828,0.04717466330333707,1,1,0.04717466330333707
should,0.13102201315332337,0.1781431033636555,-0.04712109021033212,1,2,0.04712109021033212
up,0.18701973131806293,0.1400457825708797,0.04697394874718322,9,10,0.04697394874718322
apparently,0.13400797124239183,0.18067291321432816,-0.046664941971936325,1,1,0.046664941971936325
explained,0.16934996004995592,0.12280304282407666,0.04654691722587927,2,1,0.04654691722587927
snowing,0.1510020774158998,0.10446569841452048,0.046536379001379316,1,1,0.046536379001379316
stepkids,0.12135546009103239,0.16735772061711968,-0.04600226052608729,1,1,0.04600226052608729
respectful,0.2094124857456946,0.255196458108939,-0.045783972363244385,1,1,0.045783972363244385
with,0.25978556548846987,0.2144399436880277,0.04534562180044216,13,19,0.04534562180044216
after,0.25009784941364893,0.20529010458597394,0.044807744827674995,14,15,0.044807744827674995
impressed,0.17119297508981685,0.1264418883771729,0.04475108671264394,1,1,0.04475108671264394
greg,0.15515959255207792,0.11049103403283896,0.04466855851923897,2,2,0.04466855851923897
wants,0.13093239794246356,0.1752821686881011,-0.044349770745637535,2,2,0.044349770745637535
comfortable,0.39936504750677954,0.3553265002885644,0.04403854721821515,1,1,0.04403854721821515
atv,0.1854178891158046,0.2291199781239575,-0.04370208900815292,2,2,0.04370208900815292
happy,0.13462179769097546,0.09125583068823548,0.04336596700273998,3,1,0.04336596700273998
only,0.1539466592529972,0.11086766397503568,0.04307899527796151,2,3,0.04307899527796151
shut,0.3477074025404261,0.3047230088460896,0.04298439369433649,1,1,0.04298439369433649
rumor,0.08522164245514152,0.04268048998356821,0.042541152471573314,1,1,0.042541152471573314
bunch,0.12918150134977935,0.08671181627603483,0.04246968507374452,1,1,0.04246968507374452
behavior,0.12552947806528703,0.08330275548775994,0.04222672257752709,1,1,0.04222672257752709
out,0.2042832400609536,0.24642833756348695,-0.04214509750253334,13,9,0.04214509750253334
somewhere,0.17701790922350955,0.13488197936748797,0.042135929856021576,1,1,0.042135929856021576
crying,0.16571334805393992,0.12430652265239964,0.04140682540154028,1,1,0.04140682540154028
times,0.16849582168510233,0.1271631268551234,0.04133269482997892,1,2,0.04133269482997892
house,0.2429964683697593,0.20197582543240902,0.04102064293735028,1,3,0.04102064293735028
drive,0.10152357778759734,0.06057464347663014,0.040948934310967196,6,6,0.040948934310967196
finances,0.1130865095960807,0.07247741521183414,0.040609094384246563,1,1,0.040609094384246563
rumors,0.1243136494969367,0.08410401291042427,0.04020963658651243,1,1,0.04020963658651243
because,0.20452403172785882,0.16443583503175555,0.04008819669610328,8,7,0.04008819669610328
buy,0.1611072213400218,0.20024135436357315,-0.03913413302355134,2,2,0.03913413302355134
',0.25057429167506495,0.21153317792074067,0.039041113754324286,10,9,0.039041113754324286
trying,0.1082077788940006,0.14681854627449098,-0.03861076738049038,2,2,0.03861076738049038
snow,0.10736034856868515,0.06879434345188735,0.038566005116797794,1,1,0.038566005116797794
slept,0.17231822010416317,0.13414084473388138,0.03817737537028179,1,1,0.03817737537028179
sometimes,0.20005693612870976,0.16230300447774676,0.037753931650962996,1,1,0.037753931650962996
disability,0.1268201811861137,0.08918980942971325,0.037630371756400466,1,1,0.037630371756400466
were,0.37461297641679986,0.3371043145523036,0.03750866186449625,2,2,0.03750866186449625
even,0.21920621907391666,0.181745733263442,0.03746048581047465,1,2,0.03746048581047465
patches,0.28184482019373597,0.31911057955576333,-0.03726575936202736,1,1,0.03726575936202736
super,0.2874936727367781,0.32398905527630084,-0.036495382539522725,1,1,0.036495382539522725
straw,0.4495706733213643,0.41326810669328146,0.036302566628082844,1,1,0.036302566628082844
leaves,0.5741180136583969,0.5378298545275575,0.03628815913083938,1,1,0.03628815913083938
from,0.2827261031343123,0.24678177437994103,0.03594432875437126,8,10,0.03594432875437126
potluck,0.17010186358677526,0.2059315965840651,-0.03582973299728984,6,6,0.03582973299728984
picking,0.28109265182349663,0.24549137267131904,0.03560127915217759,1,2,0.03560127915217759
however,0.17013383895591208,0.2050419291512966,-0.03490809019538452,1,1,0.03490809019538452
me,0.240459930785673,0.20558221812725233,0.034877712658420656,35,32,0.034877712658420656
but,0.27400368146715254,0.23918524244869127,0.03481843901846127,12,10,0.03481843901846127
babysit,0.27613126236170926,0.241542781467489,0.03458848089422026,9,9,0.03458848089422026
home,0.22711641658136536,0.19254536982578227,0.03457104675558309,3,5,0.03457104675558309
